Driver,LapNumber,LapTimeSeconds,TyreLife,Team,Compound_HARD,Compound_MEDIUM,Compound_SOFT
PER,16.0,98.77,19.0,Red Bull Racing,False,False,True
PER,19.0,97.659,4.0,Red Bull Racing,False,False,True
PER,20.0,97.448,5.0,Red Bull Racing,False,False,True
PER,21.0,97.24,6.0,Red Bull Racing,False,False,True
PER,22.0,97.169,7.0,Red Bull Racing,False,False,True
PER,23.0,97.304,8.0,Red Bull Racing,False,False,True
PER,24.0,97.352,9.0,Red Bull Racing,False,False,True
PER,25.0,98.418,10.0,Red Bull Racing,False,False,True
PER,26.0,97.454,11.0,Red Bull Racing,False,False,True
PER,27.0,97.387,12.0,Red Bull Racing,False,False,True
PER,28.0,97.211,13.0,Red Bull Racing,False,False,True
PER,29.0,97.733,14.0,Red Bull Racing,False,False,True
PER,30.0,97.4,15.0,Red Bull Racing,False,False,True
PER,31.0,97.919,16.0,Red Bull Racing,False,False,True
PER,32.0,97.722,17.0,Red Bull Racing,False,False,True
PER,33.0,97.869,18.0,Red Bull Racing,False,False,True
PER,36.0,96.82,2.0,Red Bull Racing,True,False,False
PER,37.0,96.344,3.0,Red Bull Racing,True,False,False
PER,38.0,96.431,4.0,Red Bull Racing,True,False,False
PER,39.0,96.429,5.0,Red Bull Racing,True,False,False
PER,40.0,97.114,6.0,Red Bull Racing,True,False,False
PER,42.0,99.657,8.0,Red Bull Racing,True,False,False
PER,43.0,96.554,9.0,Red Bull Racing,True,False,False
PER,44.0,96.978,10.0,Red Bull Racing,True,False,False
PER,45.0,96.928,11.0,Red Bull Racing,True,False,False
PER,46.0,97.257,12.0,Red Bull Racing,True,False,False
PER,47.0,96.661,13.0,Red Bull Racing,True,False,False
PER,48.0,96.859,14.0,Red Bull Racing,True,False,False
PER,49.0,97.049,15.0,Red Bull Racing,True,False,False
PER,50.0,97.731,16.0,Red Bull Racing,True,False,False
PER,51.0,97.049,17.0,Red Bull Racing,True,False,False
PER,52.0,97.062,18.0,Red Bull Racing,True,False,False
PER,53.0,97.345,19.0,Red Bull Racing,True,False,False
PER,54.0,97.296,20.0,Red Bull Racing,True,False,False
PER,55.0,97.092,21.0,Red Bull Racing,True,False,False
